District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Anding District,0.08,15,46.56,46.41,9967.783505,Gansu,2012,0.07,1
Cheng County,0.09,1,26.04,38.2,14669.73886,Gansu,2012,0.09,1
Xiahe County,0.04,3,8.91,12.1,13580.24691,Gansu,2012,0.02,1
Qin'an County,0.09,4,61.34,41.4,6749.266384,Gansu,2012,0.07,1
Gangu County,0.11,9,63.11,42.29,6700.998257,Gansu,2012,0.09,1
Su'nan Yugu Autonomous County,0.04,2,3.76,23.4,62234.04255,Gansu,2012,0.04,1
Yongjing County,0.07,6,20.47,32.94,16091.84172,Gansu,2012,0.06,1
Zhouqu County,0.04,2,14.07,10.82,7690.120824,Gansu,2012,0.04,1
Jinta County,0.05,3,15.02,58.17,38728.36218,Gansu,2012,0.04,1
Guanghe County,0.05,1,25.71,12.82,4986.38662,Gansu,2012,0.04,1
Kongtong District,0.31,15,51.14,101.06,19761.43919,Gansu,2012,0.21,1
Li County,0.06,16,52.65,22.78,4326.68566,Gansu,2012,0.09,1
Longxi County,0.2,8,50.51,50.35,9968.323104,Gansu,2012,0.13,1
Wushan County,0.1,12,45.62,38.88,8522.577817,Gansu,2012,0.1,1
Ning County,0.09,16,54.89,47.54,8660.95828,Gansu,2012,0.08,1
Lintao County,0.19,6,53.43,43.36,8115.291035,Gansu,2012,0.19,1
Linxia County,0.11,3,39.82,22.29,5597.689603,Gansu,2012,0.11,1
Zhengning County,0.05,1,23.96,21.34,8906.510851,Gansu,2012,0.05,1
Yongdeng County,0.09,12,52.97,95.85,18095.1482,Gansu,2012,0.09,1
Heshui County,0.05,2,17.32,37.44,21616.62818,Gansu,2012,0.05,1
Qingshui County,0.08,15,32.6,28.35,8696.319018,Gansu,2012,0.07,1
Diebu County,0.02,3,5.92,7.91,13361.48649,Gansu,2012,0.01,1
Zhangjiachuan Hui Autonomous County,0.12,8,35.45,20.8,5867.4189,Gansu,2012,0.12,1
Weiyuan County,0.14,7,34.25,20.32,5932.846715,Gansu,2012,0.1,1
Yumen City,0.09,9,14.05,130.26,92711.74377,Gansu,2012,0.1,1
Chongxin County,0.03,7,9.99,31.62,31651.65165,Gansu,2012,0.03,1
Dunhuang City,0.06,6,14.2,78.26,55112.67606,Gansu,2012,0.06,1
Linze County,0.08,8,15.07,36.69,24346.38354,Gansu,2012,0.06,1
Linxia City,0.18,8,24.45,38.03,15554.19223,Gansu,2012,0.16,1
Zhuanglang County,0.12,11,44.62,27.91,6255.042582,Gansu,2012,0.1,1
Dongxiang Autonomous County,0.04,2,33.23,11.96,3599.157388,Gansu,2012,0.05,1
Jingtai County,0.08,1,23.17,49.62,21415.62365,Gansu,2012,0.07,1
Huating County,0.08,12,18.55,72.58,39126.68464,Gansu,2012,0.08,1
Qingcheng County,0.06,14,28.56,77.97,27300.42017,Gansu,2012,0.06,1
Tongwei County,0.11,9,43.14,24.91,5774.223459,Gansu,2012,0.09,1
Minle County,0.12,4,24.63,33,13398.29476,Gansu,2012,0.13,1
Yongchang County,0.08,2,25.24,51.79,20519.01743,Gansu,2012,0.08,1
Yuzhong County,0.1,3,43.81,70.19,16021.45629,Gansu,2012,0.1,1
Huining County,0.14,2,56.41,45.94,8143.946109,Gansu,2012,0.14,1
Jingyuan County,0.09,9,46.99,53.76,11440.73207,Gansu,2012,0.1,1
Liangdang County,0.03,61,4.95,4.93,9959.59596,Gansu,2012,0.02,1
Jingchuan County,0.12,10,35.36,42.42,11996.60633,Gansu,2012,0.09,1
Tianzhu Zang Autonomous County,0.07,1,20.98,39.31,18736.89228,Gansu,2012,0.07,1
Shandan County,0.09,9,20.06,34.85,17372.88136,Gansu,2012,0.09,1
Lingtai County,0.07,20,22.98,25.93,11283.72498,Gansu,2012,0.06,1
Huan County,0.05,2,35.18,54.96,15622.51279,Gansu,2012,0.06,1
Gaotai County,0.08,10,15.83,37.61,23758.68604,Gansu,2012,0.06,1
Ganzhou District,0.26,19,51.5,123.82,24042.71845,Gansu,2012,0.22,1
Xifeng District,0.23,9,37.25,161.37,43320.80537,Gansu,2012,0.22,1
Minqin County,0.08,5,27.17,52.04,19153.4781,Gansu,2012,0.08,1
Liangzhou District,0.36,18,100.23,213.13,21264.09259,Gansu,2012,0.39,1
Suzhou District,0.23,6,40.71,184.52,45325.47286,Gansu,2012,0.22,1
Xihe County,0.07,,43.34,22.15,5110.752192,Gansu,2012,0.07,1
Kang County,0.07,,19.75,12.94,6551.898734,Gansu,2012,0.06,1
Zhenyuan County,0.1,,52.03,45.69,8781.472228,Gansu,2012,0.08,1
Hui County,0.05,,21.99,33.75,15347.8854,Gansu,2012,0.05,1
Hezuo City,0.06,,9.18,23.51,25610.02179,Gansu,2012,0.06,1
Huachi County,0.06,,13.06,79.7,61026.03369,Gansu,2012,0.05,1
Heshan City,0.05,4,14.03,33.35,23770.4918,Guangxi,2012,0.05,1
Pingxiang City,0.02,3,11.18,36.2,32379.24866,Guangxi,2012,0.02,1
Pingguo County,0.13,11,50.55,112,22156.28091,Guangxi,2012,0.1,1
Dongxing City,0.03,5,13.54,62.45,46122.5997,Guangxi,2012,0.03,1
Napo County,0.05,10,21.34,15.56,7291.471415,Guangxi,2012,0.05,1
Ziyuan County,0.04,9,17.52,34.98,19965.75342,Guangxi,2012,0.03,1
Gongcheng Yao Autonomous County,0.06,8,30.05,66.45,22113.14476,Guangxi,2012,0.06,1
Yangshuo County,0.05,9,31.76,76.23,24001.88917,Guangxi,2012,0.05,1
Tian'e County,0.04,7,17.22,37.32,21672.47387,Guangxi,2012,0.03,1
Yongfu County,0.07,8,28.47,82.88,29111.34528,Guangxi,2012,0.07,1
Mengshan County,0.08,9,21.69,51.98,23964.96081,Guangxi,2012,0.08,1
Fengshan County,0.05,13,21.49,15.01,6984.64402,Guangxi,2012,0.05,1
Bama Yao Autonomous County,0.05,13,28.27,25.53,9030.774673,Guangxi,2012,0.05,1
Shangsi County,0.05,10,23.58,58.97,25008.48176,Guangxi,2012,0.04,1
Xincheng County,0.08,14,41.48,47.96,11562.19865,Guangxi,2012,0.08,1
Lingyun County,0.05,10,21.91,19.93,9096.303058,Guangxi,2012,0.04,1
Lingui County,0.07,13,49.17,165.5,33658.735,Guangxi,2012,0.07,1
Rong County,0.16,17,83.07,118.14,14221.7407,Guangxi,2012,0.16,1
Huanjiang Maonan Autonomous County,0.07,12,37.59,32.22,8571.428571,Guangxi,2012,0.07,1
Luzhai County,0.13,12,40.59,104.02,25627.00172,Guangxi,2012,0.12,1
Liucheng County,0.1,16,41.23,91.95,22301.72205,Guangxi,2012,0.08,1
Jinxiu Yao Autonomous County,0.06,13,15.41,23.31,15126.54121,Guangxi,2012,0.06,1
Guanyang County,0.08,12,29.04,53.14,18298.89807,Guangxi,2012,0.08,1
