District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Jiyuan City,0.3,8,68.9,440.1,63875.18142,Henan,2012,0.27,1
Yuanyang County,0.18,17,75.75,92.9,12264.0264,Henan,2012,0.16,1
Anyang County,0.23,26,103.77,345.95,33338.15168,Henan,2012,0.2,1
Yiyang County,0.17,16,68.82,175.26,25466.43418,Henan,2012,0.16,1
Neihuang County,0.18,22,77.8,129.08,16591.25964,Henan,2012,0.18,1
Jia County,0.18,14,63.74,120.69,18934.73486,Henan,2012,0.15,1
Ningling County,0.13,18,68.22,74.25,10883.90501,Henan,2012,0.12,1
Yanling County,0.2,35,69.22,205.09,29628.72002,Henan,2012,0.18,1
Luoning County,0.15,19,50.07,132.5,26462.95187,Henan,2012,0.15,1
Gongyi City,0.25,21,82.02,527.8,64350.1585,Henan,2012,0.29,1
Fan County,0.13,12,59.25,103.49,17466.66667,Henan,2012,0.13,1
Zhongmu County,0.21,18,79.81,482.92,60508.70818,Henan,2012,0.17,1
Lushi County,0.11,19,37.87,61.11,16136.78373,Henan,2012,0.1,1
Xiuwu County,0.08,10,27.96,93.58,33469.24177,Henan,2012,0.07,1
Hua County,0.29,26,142.84,163.83,11469.47634,Henan,2012,0.28,1
Song County,0.16,17,60.62,134.06,22114.81359,Henan,2012,0.16,1
Xin'an County,0.14,12,53.13,329.4,61998.87069,Henan,2012,0.16,1
Yanjin County,0.15,14,50.04,92.1,18405.27578,Henan,2012,0.14,1
Lingbao City,0.2,17,74.37,441.24,59330.37515,Henan,2012,0.2,1
Tongxu County,0.18,14,67.75,160.22,23648.70849,Henan,2012,0.17,1
Yichuan County,0.23,15,88.22,276.84,31380.63931,Henan,2012,0.19,1
Nanle County,0.13,13,56.15,107.96,19227.07035,Henan,2012,0.13,1
Ruyang County,0.16,16,49.65,107.17,21585.09567,Henan,2012,0.15,1
Yanshi City,0.2,63,61.58,432.15,70177.00552,Henan,2012,0.2,1
Jun County,0.16,14,72.64,121.22,16687.77533,Henan,2012,0.15,1
Linying County,0.16,15,74.36,215.93,29038.46154,Henan,2012,0.16,1
Linzhou City,0.34,38,107.74,403.78,37477.26007,Henan,2012,0.3,1
Biyang County,0.22,30,90.87,139.24,15322.98889,Henan,2012,0.19,1
Lankao County,0.36,17,91.19,168.98,18530.54063,Henan,2012,0.26,1
Sui County,0.2,22,88.93,112.69,12671.76431,Henan,2012,0.19,1
Minquan County,0.28,19,97.58,131.25,13450.50215,Henan,2012,0.23,1
Tongbai County,0.11,39,50.33,127.02,25237.43294,Henan,2012,0.08,1
Suiping County,0.19,18,56.09,121.91,21734.71207,Henan,2012,0.2,1
Weishi County,0.19,17,99.92,240.87,24106.28503,Henan,2012,0.16,1
Huangchuan County,0.13,25,83.98,160.89,19158.13289,Henan,2012,0.1,1
Xuchang County,0.11,26,90.67,210.64,23231.49884,Henan,2012,0.1,1
Fugou County,0.14,15,77.61,119.07,15342.09509,Henan,2012,0.14,1
Luanchuan County,0.12,14,34.22,159.05,46478.66745,Henan,2012,0.12,1
Changyuan County,0.29,19,93.34,193.81,20763.87401,Henan,2012,0.24,1
Xixia County,0.21,18,48.39,175.13,36191.36185,Henan,2012,0.2,1
Ruzhou City,0.39,23,109.26,320.43,29327.2927,Henan,2012,0.34,1
Huaibin County,0.16,41,75.01,101.93,13588.85482,Henan,2012,0.11,1
Lushan County,0.21,24,93.62,110.11,11761.37577,Henan,2012,0.2,1
Zhengyang County,0.17,23,81.81,114.26,13966.50776,Henan,2012,0.15,1
Xiping County,0.21,23,87.01,136.91,15734.97299,Henan,2012,0.2,1
Qingfeng County,0.12,18,74.17,140.02,18878.25266,Henan,2012,0.12,1
Xihua County,0.24,22,97.29,128.77,13235.68712,Henan,2012,0.19,1
Xincai County,0.18,23,112.03,129.54,11562.9742,Henan,2012,0.15,1
Neixiang County,0.14,70,71.59,118.39,16537.22587,Henan,2012,0.12,1
Pingyu County,0.32,19,98.83,132.07,13363.35121,Henan,2012,0.32,1
Changge City,0.2,12,76.71,370.37,48281.8407,Henan,2012,0.16,1
Xinzheng City,0.2,22,72.42,531.4,73377.52002,Henan,2012,0.17,1
Queshan County,0.17,17,52.77,102.64,19450.44533,Henan,2012,0.16,1
Zhenping County,0.2,55,107.71,178.7,16590.84579,Henan,2012,0.12,1
Dengfeng City,0.25,17,69.74,431.18,61826.7852,Henan,2012,0.24,1
Xinmi City,0.34,25,87.06,512.92,58915.69033,Henan,2012,0.31,1
Kaifeng County,0.11,20,78.12,161.56,20681.00358,Henan,2012,0.1,1
Wuyang County,0.14,14,60.92,109.17,17920.22324,Henan,2012,0.14,1
Fengqiu County,0.25,26,80.05,95.37,11913.80387,Henan,2012,0.2,1
Luyi County,0.33,21,133.45,191.41,14343.1997,Henan,2012,0.24,1
Zhecheng County,0.32,19,102.65,127.34,12405.26059,Henan,2012,0.27,1
Qi County,0.22,24,120.79,202.19,16738.96846,Henan,2012,0.16,1
Dengzhou City,0.49,76,177.54,283.46,15965.9795,Henan,2012,0.45,1
Dancheng County,0.23,22,157.91,171.44,10856.81717,Henan,2012,0.22,1
Ye County,0.18,38,88.01,168.27,19119.41825,Henan,2012,0.17,1
Xiangcheng County,0.2,37,88.02,255.82,29063.84913,Henan,2012,0.2,1
Taikang County,0.33,21,156.79,151.82,9683.015498,Henan,2012,0.32,1
Nanzhao County,0.14,17,65.39,113.3,17326.80838,Henan,2012,0.15,1
Shangshui County,0.25,25,126.4,146.57,11595.72785,Henan,2012,0.19,1
Puyang County,0.23,20,121.09,235.69,19464.03502,Henan,2012,0.23,1
Xinye County,0.16,53,85.08,197.47,23209.92008,Henan,2012,0.1,1
Xiangcheng City,0.27,16,137.64,195.77,14223.33624,Henan,2012,0.22,1
Fangcheng County,0.26,37,113.11,131.81,11653.25789,Henan,2012,0.24,1
Xi County,0.11,62,106.27,135.09,12711.9601,Henan,2012,0.09,1
Xiayi County,0.22,26,120.56,144,11944.26012,Henan,2012,0.2,1
Xichuan County,0.14,18,73.64,155.76,21151.54807,Henan,2012,0.14,1
Yucheng County,0.22,28,123.41,162.99,13207.19553,Henan,2012,0.2,1
Ru'nan County,0.18,24,85.43,119.93,14038.39401,Henan,2012,0.16,1
Shenqiu County,0.25,21,134.74,163.99,12170.84756,Henan,2012,0.24,1
Sheqi County,0.11,15,76.72,102.43,13351.14703,Henan,2012,0.13,1
Huaiyang County,0.25,20,148.72,159.42,10719.47283,Henan,2012,0.25,1
Luoshan County,0.14,57,77.37,118.09,15263.02184,Henan,2012,0.11,1
Guangshan County,0.15,99,91.73,122.27,13329.3361,Henan,2012,0.14,1
Xingyang City,0.17,19,66.38,458.05,69004.21814,Henan,2012,0.14,1
Shangcheng County,0.13,25,77.74,113.54,14605.0939,Henan,2012,0.11,1
Tanghe County,0.21,22,142.58,211.07,14803.61902,Henan,2012,0.18,1
Yuzhou City,0.31,106,128.03,403.45,31512.14559,Henan,2012,0.3,1
Shangcai County,0.26,41,152.91,148.82,9732.522399,Henan,2012,0.2,1
Yongcheng City,0.47,43,151.63,364.44,24034.82161,Henan,2012,0.44,1
Gushi County,0.23,71,169.26,212.95,12581.23597,Henan,2012,0.2,1
Lichuan County,0.04,16,25.32,45.03,17784.36019,Jiangxi,2012,0.04,1
Quannan County,0.06,4,19.2,39.91,20786.45833,Jiangxi,2012,0.05,1
Zixi County,0.02,8,11.45,22.6,19737.99127,Jiangxi,2012,0.02,1
Xinfeng County,0.15,17,74.98,112.38,14987.9968,Jiangxi,2012,0.12,1
Dean County,0.06,10,24.25,61.78,25476.28866,Jiangxi,2012,0.06,1
Dexing City,0.09,15,32.87,122.11,37149.37633,Jiangxi,2012,0.09,1
Guangchang County,0.03,12,24.52,33.63,13715.33442,Jiangxi,2012,0.03,1
Hengfeng County,0.05,8,21.93,61.13,27875.057,Jiangxi,2012,0.05,1
Jinggangshan City,0.05,7,16.42,44.04,26820.95006,Jiangxi,2012,0.05,1
Dingnan County,0.09,2,21.29,44.62,20958.19634,Jiangxi,2012,0.07,1
Fuliang County,0.06,17,28.75,74.04,25753.04348,Jiangxi,2012,0.06,1
Jinxi County,0.06,15,31.05,54.11,17426.73108,Jiangxi,2012,0.06,1
Wuyuan County,0.09,17,36.46,65.23,17890.83928,Jiangxi,2012,0.09,1
Shangrao County,0.17,20,80.5,130.27,16182.6087,Jiangxi,2012,0.15,1
Hukou County,0.07,14,29.81,86.02,28856.08856,Jiangxi,2012,0.06,1
Gan County,0.15,28,62.51,104.92,16784.51448,Jiangxi,2012,0.08,1
Chongren County,0.05,18,36.53,75.86,20766.49329,Jiangxi,2012,0.05,1
Xunwu County,0.06,15,31.64,40.2,12705.43616,Jiangxi,2012,0.06,1
Shicheng County,0.11,7,31.94,31.06,9724.483406,Jiangxi,2012,0.08,1
Jing'an County,0.04,11,14.92,29.48,19758.71314,Jiangxi,2012,0.04,1
Huichang County,0.16,25,51.16,60.18,11763.09617,Jiangxi,2012,0.11,1
Qianshan County,0.11,23,46.54,73.26,15741.29781,Jiangxi,2012,0.09,1
Longnan County,0.06,7,32.1,90.42,28168.2243,Jiangxi,2012,0.06,1
Xingguo County,0.14,29,80.17,100.09,12484.71997,Jiangxi,2012,0.13,1
Chongyi County,0.05,9,21.09,52.49,24888.57278,Jiangxi,2012,0.04,1
Xiajiang County,0.04,13,17.81,45.19,25373.38574,Jiangxi,2012,0.04,1
Nancheng County,0.05,15,32.73,77.9,23800.79438,Jiangxi,2012,0.07,1
Ji'an County,0.11,21,48.76,106.01,21741.1813,Jiangxi,2012,0.09,1
Yihuang County,0.05,16,23.23,40.83,17576.40981,Jiangxi,2012,0.05,1
Anyi County,0.06,12,29.01,75.34,25970.35505,Jiangxi,2012,0.05,1
Xingzi County,0.07,13,26.68,49.03,18377.06147,Jiangxi,2012,0.07,1
Dayu County,0.11,11,30.79,72.16,23436.18058,Jiangxi,2012,0.09,1
Duchang County,0.18,27,82.58,64.49,7809.396948,Jiangxi,2012,0.15,1
Fengxin County,0.07,17,32.45,84.85,26147.91988,Jiangxi,2012,0.07,1
Ruichang City,0.18,19,45.63,107.01,23451.67653,Jiangxi,2012,0.14,1
Pengze County,0.06,18,38.36,54.21,14131.90824,Jiangxi,2012,0.07,1
Wuning County,0.06,21,39.15,72.57,18536.39847,Jiangxi,2012,0.07,1
Yifeng County,0.1,18,29.15,77.6,26620.92624,Jiangxi,2012,0.07,1
Yushan County,0.16,21,62.09,93.61,15076.50185,Jiangxi,2012,0.13,1
Nanfeng County,0.07,14,30.17,76.63,25399.40338,Jiangxi,2012,0.06,1
Yongxin County,0.11,24,51.73,63.51,12277.20858,Jiangxi,2012,0.1,1
Anfu County,0.11,20,40.14,88.85,22135.0274,Jiangxi,2012,0.1,1
Ruijin City,0.15,20,68.3,88.92,13019.03367,Jiangxi,2012,0.13,1
Guixi City,0.13,24,62.25,277.39,44560.64257,Jiangxi,2012,0.13,1
Lianhua County,0.05,17,26.87,39.55,14719.01749,Jiangxi,2012,0.05,1
Yujiang County,0.07,17,38.52,67,17393.56179,Jiangxi,2012,0.06,1
Xin'gan County,0.1,14,32.78,77.52,23648.5662,Jiangxi,2012,0.07,1
Yiyang County,0.07,24,40.75,63.02,15465.03067,Jiangxi,2012,0.07,1
Fenyi County,0.1,16,33.23,149,44839.0009,Jiangxi,2012,0.06,1
Taihe County,0.2,24,56.03,100.48,17933.25004,Jiangxi,2012,0.16,1
Tonggu County,0.03,10,13.88,26.05,18768.01153,Jiangxi,2012,0.03,1
Wan'an County,0.08,19,30.62,46.26,15107.7727,Jiangxi,2012,0.07,1
Dongxiang County,0.09,18,46.86,97.91,20894.1528,Jiangxi,2012,0.09,1
Ningdu County,0.15,27,79.08,101.47,12831.31007,Jiangxi,2012,0.12,1
Jishui County,0.13,22,52.56,85.07,16185.31202,Jiangxi,2012,0.08,1
Guangfeng County,0.08,23,92.13,206,22359.70911,Jiangxi,2012,0.08,1
Anyuan County,0.1,19,38.29,39.9,10420.47532,Jiangxi,2012,0.07,1
Wannian County,0.11,22,41.32,80.01,19363.50436,Jiangxi,2012,0.1,1
Nanchang County,0.15,19,100.9,437.57,43366.6997,Jiangxi,2012,0.14,1
Luxi County,0.09,13,29.77,102.84,34544.8438,Jiangxi,2012,0.05,1
Shangli County,0.15,11,48.86,139.46,28542.77528,Jiangxi,2012,0.08,1
Lean County,0.09,17,37.14,40.13,10805.06193,Jiangxi,2012,0.08,1
Yongxiu County,0.08,26,39.03,91.57,23461.43992,Jiangxi,2012,0.08,1
Shanggao County,0.12,15,36.53,100.64,27549.95894,Jiangxi,2012,0.11,1
Suichuan County,0.16,26,57.79,76.24,13192.59387,Jiangxi,2012,0.15,1
Yongfeng County,0.09,27,45.4,91.85,20231.27753,Jiangxi,2012,0.08,1
Yugan County,0.11,20,105.69,93.92,8886.365787,Jiangxi,2012,0.11,1
Jiujiang County,0.08,13,33.38,70.15,21015.57819,Jiangxi,2012,0.06,1
Jinxian County,0.18,24,84.12,233.95,27811.45982,Jiangxi,2012,0.13,1
Shangyou County,0.06,17,31.22,38.19,12232.54324,Jiangxi,2012,0.06,1
Poyang County,0.27,35,159.19,115.2,7236.635467,Jiangxi,2012,0.27,1
Yudu County,0.23,28,104.68,121.05,11563.81353,Jiangxi,2012,0.21,1
Zhangshu City,0.2,30,59.68,234.02,39212.46649,Jiangxi,2012,0.11,1
Gaoan City,0.23,27,84.86,151.24,17822.29555,Jiangxi,2012,0.25,1
Leping City,0.19,23,90.99,207.54,22809.0999,Jiangxi,2012,0.17,1
Fengcheng City,0.35,31,139.4,314.66,22572.45337,Jiangxi,2012,0.36,1
Xiushui County,0.12,42,84.77,96.55,11389.64256,Jiangxi,2012,0.17,1
Xinjian County,0.16,21,71.31,240.61,33741.41074,Jiangxi,2012,0.14,1
Nankang City,0.23,23,82.94,122.89,14816.73499,Jiangxi,2012,0.17,1
Wanzai County,0.17,18,53.11,81.17,15283.37413,Jiangxi,2012,0.14,1
Litang County,0.01,7,6.66,7.17,10765.76577,Sichuan,2012,0.01,1
Xiangcheng County,0.01,2,2.99,6.04,20200.6689,Sichuan,2012,0.01,1
Derong County,0.01,2,2.59,4.32,16679.53668,Sichuan,2012,0.01,1
Daocheng County,0.01,1,3.19,4.57,14326.01881,Sichuan,2012,0.01,1
Batang County,0.02,1,5.23,7.88,15066.92161,Sichuan,2012,0.01,1
Baiyu County,0.02,2,5.42,10.03,18505.53506,Sichuan,2012,0.01,1
Tongjiang County,0.16,2,77.28,77.48,10025.87992,Sichuan,2012,0.16,1
Shiqu County,0.01,11,10.95,6.03,5506.849315,Sichuan,2012,0.01,1
Jiulong County,0.02,1,6.59,23.42,35538.69499,Sichuan,2012,0.02,1
Dege County,0.01,7,8.48,5.37,6332.54717,Sichuan,2012,0.01,1
Baoxing County,0.02,1,5.87,20.23,34463.37308,Sichuan,2012,0.02,1
Yajiang County,0.01,4,4.98,6.53,13112.4498,Sichuan,2012,0.01,1
Ganzi County,0.02,3,6.82,6.22,9120.234604,Sichuan,2012,0.02,1
Luding County,0.03,2,8.71,16.1,18484.50057,Sichuan,2012,0.03,1
Daofu County,0.02,4,5.59,5.45,9749.552773,Sichuan,2012,0.01,1
Danba County,0.02,7,6.06,10.13,16716.17162,Sichuan,2012,0.02,1
Luhuo County,0.02,9,4.67,4.07,8715.203426,Sichuan,2012,0.01,1
Xinlong County,0.01,11,5.06,5.69,11245.05929,Sichuan,2012,0.01,1
Yuexi County,0.07,1,33.61,32.29,9607.259744,Sichuan,2012,0.06,1
Puge County,0.04,6,18.44,19.63,10645.33623,Sichuan,2012,0.03,1
Pingchang County,0.22,7,105.4,95.5,9060.721063,Sichuan,2012,0.28,1
Heishui County,0.02,1,6.17,14.9,24149.10859,Sichuan,2012,0.02,1
Kangding County,0.09,1,11.24,40.98,36459.07473,Sichuan,2012,0.08,1
Leibo County,0.05,2,26.09,43.88,16818.70448,Sichuan,2012,0.05,1
Jiuzhaigou County,0.03,2,6.7,17.95,26791.04478,Sichuan,2012,0.03,1
Xide County,0.04,1,21.8,18.07,8288.990826,Sichuan,2012,0.03,1
Muli Zang Autonomous County,0.04,1,13.77,22.59,16405.22876,Sichuan,2012,0.04,1
Songpan County,0.02,1,7.56,12.67,16759.25926,Sichuan,2012,0.02,1
Ningnan County,0.06,2,18.99,39.04,20558.18852,Sichuan,2012,0.04,1
Ruoergai County,0.02,2,7.73,11.61,15019.40492,Sichuan,2012,0.02,1
Li County,0.02,2,4.58,15.11,32991.26638,Sichuan,2012,0.02,1
Aba County,0.02,3,7.63,7.16,9384.010485,Sichuan,2012,0.02,1
Xiaojin County,0.04,1,8.13,9.13,11230.0123,Sichuan,2012,0.03,1
Maerkang County,0.05,2,5.6,16.55,29553.57143,Sichuan,2012,0.04,1
Hongyuan County,0.02,3,4.52,7.95,17588.49558,Sichuan,2012,0.02,1
Wenchuan County,0.04,2,10.1,46.08,45623.76238,Sichuan,2012,0.04,1
Tianquan County,0.11,6,15.44,37.84,24507.77202,Sichuan,2012,0.09,1
Yingjing County,0.07,6,15.2,48.97,32217.10526,Sichuan,2012,0.07,1
Jinchuan County,0.03,5,7.38,7.98,10813.00813,Sichuan,2012,0.02,1
Dechang County,0.1,9,20.85,52.48,25170.26379,Sichuan,2012,0.09,1
Jinyang County,0.06,2,19.28,24.58,12748.96266,Sichuan,2012,0.05,1
Pingwu County,0.05,9,18.39,28.01,15231.10386,Sichuan,2012,0.05,1
Butuo County,0.03,3,18.22,22.15,12156.97036,Sichuan,2012,0.03,1
Ganluo County,0.05,2,22.04,27.15,12318.5118,Sichuan,2012,0.05,1
Mianning County,0.1,4,38.64,77.41,20033.64389,Sichuan,2012,0.09,1
Lushan County,0.04,5,12.09,25.35,20967.74194,Sichuan,2012,0.04,1
Shimian County,0.11,4,12.4,53.59,43217.74194,Sichuan,2012,0.1,1
Ebian Yi Autonomous County,0.03,7,15.1,28.85,19105.96026,Sichuan,2012,0.03,1
Zhaojue County,0.05,2,30.09,19.29,6410.767697,Sichuan,2012,0.04,1
Rangtang County,0.01,5,4.19,5.6,13365.15513,Sichuan,2012,0.01,1
Jiajiang County,0.12,11,35.17,99.37,28254.19392,Sichuan,2012,0.12,1
Mao County,0.04,7,11.15,24.89,22322.86996,Sichuan,2012,0.03,1
Hanyuan County,0.09,4,32.96,50.02,15175.97087,Sichuan,2012,0.09,1
Mabian Yi Autonomous County,0.06,6,21.31,25.5,11966.21305,Sichuan,2012,0.04,1
Pujiang County,0.13,5,26.35,79.76,30269.44972,Sichuan,2012,0.08,1
Meigu County,0.04,2,25.51,17.26,6765.974128,Sichuan,2012,0.04,1
Yanyuan County,0.08,3,38.55,74.32,19278.85863,Sichuan,2012,0.07,1
Huili County,0.13,12,46.19,190.59,41262.17796,Sichuan,2012,0.11,1
Pingshan County,0.05,15,30.99,30.32,9783.801226,Sichuan,2012,0.05,1
Huaying City,0.12,14,36.16,100.35,27751.65929,Sichuan,2012,0.1,1
Miyi County,0.08,9,21.92,93.2,42518.24818,Sichuan,2012,0.06,1
Huidong County,0.1,7,41.65,107.87,25899.15966,Sichuan,2012,0.08,1
Xinjin County,0.19,6,30.8,169.94,55175.32468,Sichuan,2012,0.16,1
Jintang County,0.32,24,89.04,202.3,22720.12579,Sichuan,2012,0.27,1
Qingchuan County,0.06,6,24.18,23.59,9755.996691,Sichuan,2012,0.07,1
Yanbian County,0.08,11,21.03,102.54,48758.91583,Sichuan,2012,0.07,1
Gao County,0.15,23,53.42,90.74,16986.14751,Sichuan,2012,0.13,1
Wangcang County,0.15,13,45.82,66.1,14426.01484,Sichuan,2012,0.16,1
Muchuan County,0.05,21,25.82,45.53,17633.61735,Sichuan,2012,0.05,1
Xichang City,0.45,14,63.54,334.05,52573.18225,Sichuan,2012,0.4,1
Qingshen County,0.06,11,19.73,49.19,24931.57628,Sichuan,2012,0.06,1
Gong County,0.18,18,42.73,96.04,22476.01217,Sichuan,2012,0.17,1
Pengshan County,0.09,11,33.25,92.85,27924.81203,Sichuan,2012,0.09,1
Hongya County,0.11,13,34.96,77.69,22222.54005,Sichuan,2012,0.1,1
Luojiang County,0.08,13,25.01,69.58,27820.87165,Sichuan,2012,0.07,1
Beichuan County,0.1,14,24.13,31.7,13137.17364,Sichuan,2012,0.07,1
Mianzhu City,0.29,21,50.66,163.59,32291.74891,Sichuan,2012,0.26,1
Xuyong County,0.19,22,72.11,76.37,10590.76411,Sichuan,2012,0.13,1
Daying County,0.1,21,54.47,99.09,18191.66514,Sichuan,2012,0.09,1
Junlian County,0.1,16,42.76,101.96,23844.71469,Sichuan,2012,0.08,1
Xingwen County,0.13,11,47.39,63.24,13344.58747,Sichuan,2012,0.11,1
Jianwei County,0.14,28,56.92,103.27,18143.00773,Sichuan,2012,0.17,1
Qionglai City,0.27,11,65.61,150.43,22927.90733,Sichuan,2012,0.25,1
Guanghan City,0.24,19,60.64,251.95,41548.48285,Sichuan,2012,0.23,1
Pi County,0.32,11,51.87,325.59,62770.38751,Sichuan,2012,0.28,1
Dayi County,0.31,6,51.2,132.86,25949.21875,Sichuan,2012,0.28,1
Dujiangyan City,0.5,14,61.38,208.18,33916.58521,Sichuan,2012,0.43,1
Linshui County,0.23,41,103.27,148.17,14347.82609,Sichuan,2012,0.21,1
Danleng County,0.04,16,16.32,37.11,22738.97059,Sichuan,2012,0.04,1
Zitong County,0.1,17,38.58,67.81,17576.46449,Sichuan,2012,0.08,1
Nanjiang County,0.18,23,68.65,82.77,12056.80991,Sichuan,2012,0.15,1
Emeishan City,0.19,4,43.37,163.63,37728.84482,Sichuan,2012,0.18,1
Chongzhou City,0.38,15,66.58,163.43,24546.41033,Sichuan,2012,0.36,1
Pengzhou City,0.41,18,80.35,213.1,26521.46857,Sichuan,2012,0.35,1
Shifang City,0.25,17,43.83,188.61,43032.16975,Sichuan,2012,0.22,1
Jiange County,0.18,23,69.07,69.79,10104.24207,Sichuan,2012,0.16,1
Changning County,0.16,21,45.83,90.37,19718.52498,Sichuan,2012,0.14,1
Wusheng County,0.21,33,84.57,141.9,16778.99965,Sichuan,2012,0.17,1
Jingyan County,0.1,16,41.64,64.8,15561.95965,Sichuan,2012,0.1,1
An County,0.14,24,44.29,84.01,18968.16437,Sichuan,2012,0.14,1
Weiyuan County,0.3,23,74.81,244.52,32685.46986,Sichuan,2012,0.22,1
Gulin County,0.19,29,85.21,105.83,12419.90377,Sichuan,2012,0.14,1
Fushun County,0.24,38,108.39,171,15776.36313,Sichuan,2012,0.21,1
Longchang County,0.26,35,78.71,177.02,22490.15373,Sichuan,2012,0.19,1
Kaijiang County,0.11,26,60.8,88.17,14501.64474,Sichuan,2012,0.1,1
Lezhi County,0.2,57,86.19,138.15,16028.54159,Sichuan,2012,0.16,1
Wanyuan City,0.15,39,60.3,100.85,16724.70978,Sichuan,2012,0.16,1
Cangxi County,0.22,20,79.03,84.36,10674.42743,Sichuan,2012,0.2,1
Langzhong City,0.28,64,87.59,138.19,15776.91517,Sichuan,2012,0.24,1
Jiang'an County,0.12,33,55.69,95.12,17080.26576,Sichuan,2012,0.1,1
Peng'an County,0.2,80,71.32,106.07,14872.40606,Sichuan,2012,0.17,1
Rong County,0.23,31,69.55,144.28,20744.78792,Sichuan,2012,0.17,1
Yuechi County,0.23,43,118.73,142.26,11981.80746,Sichuan,2012,0.21,1
Jiangyou City,0.58,26,88.68,242.14,27304.91655,Sichuan,2012,0.49,1
Shuangliu County,0.44,22,96,679.07,70736.45833,Sichuan,2012,0.4,1
Hejiang County,0.39,29,90.54,124.1,13706.64899,Sichuan,2012,0.26,1
Yingshan County,0.31,96,95.18,109.34,11487.7075,Sichuan,2012,0.3,1
Yilong County,0.3,63,112.56,115.17,10231.87633,Sichuan,2012,0.25,1
Yibin County,0.25,38,102.55,160.06,15607.9961,Sichuan,2012,0.24,1
Pengxi County,0.17,29,71.1,90.24,12691.98312,Sichuan,2012,0.16,1
Yanting County,0.16,50,59.94,80.18,13376.71004,Sichuan,2012,0.14,1
Xuanhan County,0.31,41,132.76,198.18,14927.68906,Sichuan,2012,0.24,1
Dazhu County,0.29,47,112.05,213.25,19031.68228,Sichuan,2012,0.23,1
Nanbu County,0.22,47,131.56,207.06,15738.82639,Sichuan,2012,0.22,1
Lu County,0.3,38,108.7,195.55,17989.8804,Sichuan,2012,0.2,1
Xichong County,0.15,47,65.86,73.76,11199.51412,Sichuan,2012,0.12,1
Shehong County,0.27,33,100.54,226.47,22525.36304,Sichuan,2012,0.22,1
Da County,0.31,53,137.51,202,14689.84074,Sichuan,2012,0.28,1
Santai County,0.45,67,147.31,188.87,12821.26129,Sichuan,2012,0.34,1
Jianyang City,0.5,68,148.12,310.8,20982.98677,Sichuan,2012,0.42,1
Zizhong County,0.34,60,130.82,198.04,15138.35805,Sichuan,2012,0.26,1
Anyue County,0.5,71,161.66,218.12,13492.51516,Sichuan,2012,0.41,1
Qu County,0.37,56,148.42,175.38,11816.46678,Sichuan,2012,0.32,1
Zhongjiang County,0.32,58,143.06,226.59,15838.80889,Sichuan,2012,0.29,1
Renshou County,0.4,118,159.62,259.04,16228.54279,Sichuan,2012,0.34,1
Seda County,0.01,3,5.1,4.44,8705.882353,Sichuan,2012,0.01,1
Chayu County,0.01,1,2.73,4.3,15750.91575,Tibet,2012,0.01,1
Dingjie County,0.01,2,2.14,2,9345.794393,Tibet,2012,0.01,1
Bailang County,0.01,1,4.88,4.6,9426.229508,Tibet,2012,0.01,1
Nanmulin County,0.02,1,8.48,6.6,7783.018868,Tibet,2012,0.02,1
Zuogong County,0.01,2,4.71,4.9,10403.39703,Tibet,2012,0.01,1
Xietongmen County,0.02,1,4.78,5.1,10669.45607,Tibet,2012,0.01,1
Cuoqin County,0.01,1,1.44,1.8,12500,Tibet,2012,0.01,1
Basu County,0.01,1,4.59,5.4,11764.70588,Tibet,2012,0.01,1
Angren County,0.02,2,5.58,5.3,9498.207885,Tibet,2012,0.02,1
Bianba County,0.01,2,4.12,3.5,8495.145631,Tibet,2012,0.01,1
Lang County,0.01,3,1.68,3.5,20833.33333,Tibet,2012,0.01,1
Kangma County,0.01,1,2.22,2.2,9909.90991,Tibet,2012,0.01,1
Zhongba County,0.02,1,2.27,3.9,17180.61674,Tibet,2012,0.01,1
Nima County,0.01,1,4.17,5.6,13429.25659,Tibet,2012,0.01,1
Saga County,0.01,2,1.48,1.7,11486.48649,Tibet,2012,0.01,1
Lazi County,0.02,1,5.53,4.3,7775.768535,Tibet,2012,0.02,1
Dingri County,0.02,2,5.23,5.3,10133.84321,Tibet,2012,0.01,1
Luolong County,0.01,2,4.88,6.7,13729.5082,Tibet,2012,0.01,1
Leiwuqi County,0.01,2,4.96,4.6,9274.193548,Tibet,2012,0.01,1
Gongga County,0.01,1,4.95,5.5,11111.11111,Tibet,2012,0.01,1
Bomi County,0.01,2,3.13,9.7,30990.41534,Tibet,2012,0.02,1
Suo County,0.01,4,4.61,5.7,12364.42516,Tibet,2012,0.01,1
Luozha County,0.01,3,2.01,2.1,10447.76119,Tibet,2012,0.01,1
Dangxiong County,0.01,1,5.04,8.9,17658.73016,Tibet,2012,0.01,1
Milin County,0.01,4,2.19,6.4,29223.74429,Tibet,2012,0.01,1
Gongbujiangda County,0.01,6,3.19,7.2,22570.53292,Tibet,2012,0.01,1
Nierong County,0.01,3,3.48,4,11494.25287,Tibet,2012,0.01,1
Jiacha County,0.01,2,2.16,7.5,34722.22222,Tibet,2012,0.01,1
Biru County,0.01,4,6.65,6.1,9172.932331,Tibet,2012,0.01,1
Chaya County,0.02,4,6.2,6.1,9838.709677,Tibet,2012,0.02,1
Mangkang County,0.01,7,8.88,8.9,10022.52252,Tibet,2012,0.01,1
